AREA,area_name,OCC_CODE,occupation_name,OCC_TITLE,total_employment,hourly_mean_wage,annual_mean_wage,hourly_median_wage,annual_median_wage,wage_10th_percentile_annual,wage_25th_percentile_annual,wage_75th_percentile_annual,wage_90th_percentile_annual,data_year,collection_date,wage_category,labor_cost_level
5500000,Wisconsin State,47-2111,Electricians,Electricians,12000,29.08,60487,26.75,55648,39317,48390,75609,90731,2019,2025-06-27 19:46:13.026681,Middle,Moderate Cost
5500000,Wisconsin State,47-2152,Plumbers,"Plumbers, Pipefitters, and Steamfitters",8500,27.07,56310,24.91,51805,36601,45048,70388,84466,2019,2025-06-27 19:46:13.026688,Middle,Moderate Cost
5500000,Wisconsin State,49-3023,Automotive Technicians,Automotive Service Technicians and Mechanics,14000,21.21,44117,19.51,40588,28676,35294,55147,66176,2019,2025-06-27 19:46:13.026694,Low-Middle,Moderate Cost
5500000,Wisconsin State,13-2011,Accountants,Accountants and Auditors,22000,31.89,66341,29.34,61034,43121,53073,82926,99512,2019,2025-06-27 19:46:13.026701,Middle,High Cost
5500000,Wisconsin State,15-1252,Software Developers,Software Developers,15000,38.73,80568,35.64,74123,52369,64454,100710,120853,2019,2025-06-27 19:46:13.026708,Middle,High Cost
5500000,Wisconsin State,13-1161,Marketing Specialists,Marketing Specialists,12000,27.07,56310,24.91,51805,36601,45048,70388,84466,2019,2025-06-27 19:46:13.026715,Middle,Moderate Cost
5500000,Wisconsin State,41-9022,Real Estate Agents,Real Estate Sales Agents,8000,24.63,51231,22.66,47133,33300,40985,64039,76847,2019,2025-06-27 19:46:13.026722,Middle,Moderate Cost
33340,Milwaukee Msa,11-1021,General Managers,General and Operations Managers,4200,49.66,103300,45.69,95036,67145,82640,129126,154951,2019,2025-06-27 19:46:13.026737,High,High Cost
33340,Milwaukee Msa,11-9051,Food Service Managers,Food Service Managers,1344,27.32,56819,25.13,52273,36932,45455,71024,85229,2019,2025-06-27 19:46:13.026745,Middle,Moderate Cost
33340,Milwaukee Msa,11-9081,Retail Managers,Retail Sales Managers,2016,25.34,52705,23.31,48489,34258,42164,65882,79058,2019,2025-06-27 19:46:13.026753,Middle,Moderate Cost
33340,Milwaukee Msa,11-9021,Construction Managers,Construction Managers,588,45.26,94144,41.64,86613,61194,75315,117681,141217,2019,2025-06-27 19:46:13.026761,High,High Cost
33340,Milwaukee Msa,29-1141,Registered Nurses,Registered Nurses,10920,37.8,78615,34.77,72326,51100,62892,98269,117923,2019,2025-06-27 19:46:13.026768,Middle,High Cost
33340,Milwaukee Msa,31-9092,Medical Assistants,Medical Assistants,3024,18.73,38956,17.23,35840,25321,31165,48695,58434,2019,2025-06-27 19:46:13.026775,Low-Middle,Moderate Cost
33340,Milwaukee Msa,31-1121,Home Health Aides,Home Health and Personal Care Aides,5880,14.36,29866,13.21,27477,19413,23893,37333,44800,2019,2025-06-27 19:46:13.026782,Low-Middle,Low Cost
33340,Milwaukee Msa,35-3021,Food Prep Workers,Combined Food Preparation and Serving Workers,7560,12.94,26923,11.91,24769,17500,21538,33653,40384,2019,2025-06-27 19:46:13.026789,Low,Low Cost
33340,Milwaukee Msa,35-3031,Waiters Waitresses,Waiters and Waitresses,8736,12.37,25722,11.38,23664,16719,20577,32153,38583,2019,2025-06-27 19:46:13.026796,Low,Low Cost
33340,Milwaukee Msa,35-2014,Cooks Restaurant,"Cooks, Restaurant",4704,14.5,30153,13.34,27741,19600,24123,37692,45230,2019,2025-06-27 19:46:13.026803,Low-Middle,Low Cost
33340,Milwaukee Msa,35-3011,Bartenders,Bartenders,2520,13.59,28271,12.5,26010,18376,22617,35339,42407,2019,2025-06-27 19:46:13.026811,Low-Middle,Low Cost
33340,Milwaukee Msa,41-2031,Retail Salespersons,Retail Salespersons,14280,15.76,32780,14.5,30158,21307,26224,40975,49170,2019,2025-06-27 19:46:13.026820,Low-Middle,Low Cost
33340,Milwaukee Msa,41-2011,Cashiers,Cashiers,15960,12.43,25846,11.43,23778,16800,20676,32307,38769,2019,2025-06-27 19:46:13.026827,Low,Low Cost
33340,Milwaukee Msa,43-4051,Customer Service Reps,Customer Service Representatives,7056,19.0,39529,17.48,36367,25694,31623,49411,59294,2019,2025-06-27 19:46:13.026834,Low-Middle,Moderate Cost
33340,Milwaukee Msa,39-5012,Hairdressers,"Hairdressers, Hairstylists, and Cosmetologists",1428,16.89,35137,15.54,32326,22839,28109,43921,52705,2019,2025-06-27 19:46:13.026841,Low-Middle,Low Cost
33340,Milwaukee Msa,39-9031,Fitness Trainers,Fitness Trainers and Aerobics Instructors,924,19.3,40150,17.76,36938,26098,32120,50188,60226,2019,2025-06-27 19:46:13.026848,Low-Middle,Moderate Cost
33340,Milwaukee Msa,39-9011,Childcare Workers,Childcare Workers,4200,13.4,27866,12.33,25636,18112,22292,34832,41799,2019,2025-06-27 19:46:13.026855,Low-Middle,Low Cost
33340,Milwaukee Msa,47-2031,Carpenters,Carpenters,3024,27.18,56543,25.01,52020,36753,45234,70679,84815,2019,2025-06-27 19:46:13.026863,Middle,Moderate Cost
33340,Milwaukee Msa,47-2111,Electricians,Electricians,2016,32.57,67746,29.96,62326,44035,54197,84682,101619,2019,2025-06-27 19:46:13.026869,Middle,High Cost
33340,Milwaukee Msa,47-2152,Plumbers,"Plumbers, Pipefitters, and Steamfitters",1428,30.32,63067,27.9,58022,40994,50454,78834,94601,2019,2025-06-27 19:46:13.026876,Middle,Moderate Cost
33340,Milwaukee Msa,49-3023,Automotive Technicians,Automotive Service Technicians and Mechanics,2352,23.76,49411,21.86,45458,32117,39529,61764,74117,2019,2025-06-27 19:46:13.026883,Middle,Moderate Cost
33340,Milwaukee Msa,13-2011,Accountants,Accountants and Auditors,3696,35.72,74302,32.86,68358,48296,59441,92878,111453,2019,2025-06-27 19:46:13.026890,Middle,High Cost
33340,Milwaukee Msa,15-1252,Software Developers,Software Developers,2520,43.38,90236,39.91,83018,58654,72189,112796,135355,2019,2025-06-27 19:46:13.026897,High,High Cost
33340,Milwaukee Msa,13-1161,Marketing Specialists,Marketing Specialists,2016,30.32,63067,27.9,58022,40994,50454,78834,94601,2019,2025-06-27 19:46:13.026904,Middle,Moderate Cost
33340,Milwaukee Msa,41-9022,Real Estate Agents,Real Estate Sales Agents,1344,27.59,57379,25.38,52788,37296,45903,71724,86068,2019,2025-06-27 19:46:13.026911,Middle,Moderate Cost
31540,Madison Msa,11-1021,General Managers,General and Operations Managers,4050,47.89,99611,44.06,91642,64747,79689,124514,149417,2019,2025-06-27 19:46:13.026919,High,High Cost
31540,Madison Msa,11-9051,Food Service Managers,Food Service Managers,1296,26.34,54790,24.23,50407,35613,43832,68487,82185,2019,2025-06-27 19:46:13.026926,Middle,Moderate Cost
31540,Madison Msa,11-9081,Retail Managers,Retail Sales Managers,1944,24.43,50823,22.48,46757,33035,40658,63529,76235,2019,2025-06-27 19:46:13.026933,Middle,Moderate Cost
31540,Madison Msa,11-9021,Construction Managers,Construction Managers,567,43.65,90782,40.15,83520,59008,72626,113478,136173,2019,2025-06-27 19:46:13.026940,High,High Cost
31540,Madison Msa,29-1141,Registered Nurses,Registered Nurses,10530,36.45,75807,33.53,69743,49275,60646,94759,113711,2019,2025-06-27 19:46:13.026947,Middle,High Cost
31540,Madison Msa,31-9092,Medical Assistants,Medical Assistants,2916,18.06,37565,16.62,34560,24417,30052,46956,56347,2019,2025-06-27 19:46:13.026954,Low-Middle,Low Cost
31540,Madison Msa,31-1121,Home Health Aides,Home Health and Personal Care Aides,5670,13.85,28800,12.74,26496,18720,23040,36000,43200,2019,2025-06-27 19:46:13.026961,Low-Middle,Low Cost
31540,Madison Msa,35-3021,Food Prep Workers,Combined Food Preparation and Serving Workers,7290,12.48,25961,11.48,23884,16875,20769,32451,38942,2019,2025-06-27 19:46:13.026968,Low,Low Cost
31540,Madison Msa,35-3031,Waiters Waitresses,Waiters and Waitresses,8424,11.92,24803,10.97,22819,16122,19843,31004,37205,2019,2025-06-27 19:46:13.026975,Low,Low Cost
31540,Madison Msa,35-2014,Cooks Restaurant,"Cooks, Restaurant",4536,13.98,29076,12.86,26750,18900,23261,36346,43615,2019,2025-06-27 19:46:13.026982,Low-Middle,Low Cost
31540,Madison Msa,35-3011,Bartenders,Bartenders,2430,13.11,27262,12.06,25081,17720,21809,34077,40893,2019,2025-06-27 19:46:13.026989,Low-Middle,Low Cost
31540,Madison Msa,41-2031,Retail Salespersons,Retail Salespersons,13770,15.2,31609,13.98,29080,20546,25287,39512,47414,2019,2025-06-27 19:46:13.026996,Low-Middle,Low Cost
31540,Madison Msa,41-2011,Cashiers,Cashiers,15390,11.98,24923,11.02,22929,16200,19938,31153,37384,2019,2025-06-27 19:46:13.027003,Low,Low Cost
31540,Madison Msa,43-4051,Customer Service Reps,Customer Service Representatives,6804,18.33,38117,16.86,35068,24776,30494,47647,57176,2019,2025-06-27 19:46:13.027009,Low-Middle,Moderate Cost
31540,Madison Msa,39-5012,Hairdressers,"Hairdressers, Hairstylists, and Cosmetologists",1377,16.29,33882,14.99,31171,22023,27105,42352,50823,2019,2025-06-27 19:46:13.027016,Low-Middle,Low Cost
31540,Madison Msa,39-9031,Fitness Trainers,Fitness Trainers and Aerobics Instructors,891,18.61,38716,17.12,35619,25166,30973,48396,58075,2019,2025-06-27 19:46:13.027023,Low-Middle,Moderate Cost
31540,Madison Msa,39-9011,Childcare Workers,Childcare Workers,4050,12.92,26870,11.89,24721,17466,21496,33588,40306,2019,2025-06-27 19:46:13.027030,Low,Low Cost
31540,Madison Msa,47-2031,Carpenters,Carpenters,2916,26.21,54524,24.12,50162,35440,43619,68155,81786,2019,2025-06-27 19:46:13.027037,Middle,Moderate Cost
31540,Madison Msa,47-2111,Electricians,Electricians,1944,31.41,65326,28.89,60100,42462,52261,81658,97990,2019,2025-06-27 19:46:13.027044,Middle,High Cost
31540,Madison Msa,47-2152,Plumbers,"Plumbers, Pipefitters, and Steamfitters",1377,29.24,60815,26.9,55950,39530,48652,76019,91223,2019,2025-06-27 19:46:13.027050,Middle,Moderate Cost
31540,Madison Msa,49-3023,Automotive Technicians,Automotive Service Technicians and Mechanics,2268,22.91,47647,21.07,43835,30970,38117,59558,71470,2019,2025-06-27 19:46:13.027057,Low-Middle,Moderate Cost
31540,Madison Msa,13-2011,Accountants,Accountants and Auditors,3564,34.45,71648,31.69,65916,46571,57319,89560,107473,2019,2025-06-27 19:46:13.027064,Middle,High Cost
31540,Madison Msa,15-1252,Software Developers,Software Developers,2430,41.83,87014,38.49,80053,56559,69611,108767,130521,2019,2025-06-27 19:46:13.027071,High,High Cost
31540,Madison Msa,13-1161,Marketing Specialists,Marketing Specialists,1944,29.24,60815,26.9,55950,39530,48652,76019,91223,2019,2025-06-27 19:46:13.027078,Middle,Moderate Cost
31540,Madison Msa,41-9022,Real Estate Agents,Real Estate Sales Agents,1296,26.6,55330,24.47,50903,35964,44264,69162,82995,2019,2025-06-27 19:46:13.027085,Middle,Moderate Cost
24580,Green Bay Msa,11-1021,General Managers,General and Operations Managers,3675,43.46,90388,39.98,83157,58752,72310,112985,135582,2019,2025-06-27 19:46:13.027093,High,High Cost
24580,Green Bay Msa,11-9051,Food Service Managers,Food Service Managers,1176,23.9,49717,21.99,45739,32316,39773,62146,74575,2019,2025-06-27 19:46:13.027100,Middle,Moderate Cost
24580,Green Bay Msa,11-9081,Retail Managers,Retail Sales Managers,1764,22.17,46117,20.4,42428,29976,36894,57647,69176,2019,2025-06-27 19:46:13.027107,Low-Middle,Moderate Cost
24580,Green Bay Msa,11-9021,Construction Managers,Construction Managers,514,39.6,82376,36.44,75786,53544,65901,102971,123565,2019,2025-06-27 19:46:13.027115,High,High Cost
24580,Green Bay Msa,29-1141,Registered Nurses,Registered Nurses,9555,33.07,68788,30.43,63285,44712,55030,85985,103182,2019,2025-06-27 19:46:13.027121,Middle,High Cost
24580,Green Bay Msa,31-9092,Medical Assistants,Medical Assistants,2646,16.39,34086,15.08,31360,22156,27269,42608,51130,2019,2025-06-27 19:46:13.027128,Low-Middle,Low Cost
24580,Green Bay Msa,31-1121,Home Health Aides,Home Health and Personal Care Aides,5145,12.56,26133,11.56,24042,16986,20906,32666,39200,2019,2025-06-27 19:46:13.027135,Low,Low Cost
24580,Green Bay Msa,35-3021,Food Prep Workers,Combined Food Preparation and Serving Workers,6615,11.33,23557,10.42,21673,15312,18846,29447,35336,2019,2025-06-27 19:46:13.027142,Low,Low Cost
24580,Green Bay Msa,35-3031,Waiters Waitresses,Waiters and Waitresses,7644,10.82,22507,9.96,20706,14629,18005,28133,33760,2019,2025-06-27 19:46:13.027150,Low,Low Cost
24580,Green Bay Msa,35-2014,Cooks Restaurant,"Cooks, Restaurant",4116,12.68,26384,11.67,24273,17150,21107,32980,39576,2019,2025-06-27 19:46:13.027156,Low,Low Cost
24580,Green Bay Msa,35-3011,Bartenders,Bartenders,2205,11.89,24737,10.94,22758,16079,19790,30922,37106,2019,2025-06-27 19:46:13.027163,Low,Low Cost
24580,Green Bay Msa,41-2031,Retail Salespersons,Retail Salespersons,12495,13.79,28682,12.69,26388,18643,22946,35853,43024,2019,2025-06-27 19:46:13.027170,Low-Middle,Low Cost
24580,Green Bay Msa,41-2011,Cashiers,Cashiers,13965,10.87,22615,10.0,20806,14700,18092,28269,33923,2019,2025-06-27 19:46:13.027177,Low,Low Cost
24580,Green Bay Msa,43-4051,Customer Service Reps,Customer Service Representatives,6174,16.63,34588,15.3,31821,22482,27670,43235,51882,2019,2025-06-27 19:46:13.027184,Low-Middle,Low Cost
24580,Green Bay Msa,39-5012,Hairdressers,"Hairdressers, Hairstylists, and Cosmetologists",1249,14.78,30745,13.6,28285,19984,24596,38431,46117,2019,2025-06-27 19:46:13.027191,Low-Middle,Low Cost
24580,Green Bay Msa,39-9031,Fitness Trainers,Fitness Trainers and Aerobics Instructors,808,16.89,35132,15.54,32321,22835,28105,43915,52698,2019,2025-06-27 19:46:13.027198,Low-Middle,Low Cost
24580,Green Bay Msa,39-9011,Childcare Workers,Childcare Workers,3675,11.72,24382,10.78,22432,15848,19506,30478,36574,2019,2025-06-27 19:46:13.027205,Low,Low Cost
24580,Green Bay Msa,47-2031,Carpenters,Carpenters,2646,23.79,49475,21.88,45517,32159,39580,61844,74213,2019,2025-06-27 19:46:13.027211,Middle,Moderate Cost
24580,Green Bay Msa,47-2111,Electricians,Electricians,1764,28.5,59278,26.22,54535,38530,47422,74097,88917,2019,2025-06-27 19:46:13.027218,Middle,Moderate Cost
24580,Green Bay Msa,47-2152,Plumbers,"Plumbers, Pipefitters, and Steamfitters",1249,26.53,55184,24.41,50769,35869,44147,68980,82776,2019,2025-06-27 19:46:13.027225,Middle,Moderate Cost
24580,Green Bay Msa,49-3023,Automotive Technicians,Automotive Service Technicians and Mechanics,2058,20.79,43235,19.12,39776,28102,34588,54044,64852,2019,2025-06-27 19:46:13.027232,Low-Middle,Moderate Cost
24580,Green Bay Msa,13-2011,Accountants,Accountants and Auditors,3234,31.26,65014,28.76,59813,42259,52011,81268,97521,2019,2025-06-27 19:46:13.027239,Middle,Moderate Cost
24580,Green Bay Msa,15-1252,Software Developers,Software Developers,2205,37.96,78957,34.92,72640,51322,63165,98696,118436,2019,2025-06-27 19:46:13.027246,Middle,High Cost
24580,Green Bay Msa,13-1161,Marketing Specialists,Marketing Specialists,1764,26.53,55184,24.41,50769,35869,44147,68980,82776,2019,2025-06-27 19:46:13.027253,Middle,Moderate Cost
24580,Green Bay Msa,41-9022,Real Estate Agents,Real Estate Sales Agents,1176,24.14,50206,22.21,46190,32634,40165,62758,75310,2019,2025-06-27 19:46:13.027259,Middle,Moderate Cost
10900,Appleton Msa,11-1021,General Managers,General and Operations Managers,3675,43.46,90388,39.98,83157,58752,72310,112985,135582,2019,2025-06-27 19:46:13.027267,High,High Cost
10900,Appleton Msa,11-9051,Food Service Managers,Food Service Managers,1176,23.9,49717,21.99,45739,32316,39773,62146,74575,2019,2025-06-27 19:46:13.027274,Middle,Moderate Cost
10900,Appleton Msa,11-9081,Retail Managers,Retail Sales Managers,1764,22.17,46117,20.4,42428,29976,36894,57647,69176,2019,2025-06-27 19:46:13.027281,Low-Middle,Moderate Cost
10900,Appleton Msa,11-9021,Construction Managers,Construction Managers,514,39.6,82376,36.44,75786,53544,65901,102971,123565,2019,2025-06-27 19:46:13.027288,High,High Cost
10900,Appleton Msa,29-1141,Registered Nurses,Registered Nurses,9555,33.07,68788,30.43,63285,44712,55030,85985,103182,2019,2025-06-27 19:46:13.027295,Middle,High Cost
10900,Appleton Msa,31-9092,Medical Assistants,Medical Assistants,2646,16.39,34086,15.08,31360,22156,27269,42608,51130,2019,2025-06-27 19:46:13.027302,Low-Middle,Low Cost
10900,Appleton Msa,31-1121,Home Health Aides,Home Health and Personal Care Aides,5145,12.56,26133,11.56,24042,16986,20906,32666,39200,2019,2025-06-27 19:46:13.027309,Low,Low Cost
10900,Appleton Msa,35-3021,Food Prep Workers,Combined Food Preparation and Serving Workers,6615,11.33,23557,10.42,21673,15312,18846,29447,35336,2019,2025-06-27 19:46:13.027316,Low,Low Cost
10900,Appleton Msa,35-3031,Waiters Waitresses,Waiters and Waitresses,7644,10.82,22507,9.96,20706,14629,18005,28133,33760,2019,2025-06-27 19:46:13.027323,Low,Low Cost
10900,Appleton Msa,35-2014,Cooks Restaurant,"Cooks, Restaurant",4116,12.68,26384,11.67,24273,17150,21107,32980,39576,2019,2025-06-27 19:46:13.027330,Low,Low Cost
10900,Appleton Msa,35-3011,Bartenders,Bartenders,2205,11.89,24737,10.94,22758,16079,19790,30922,37106,2019,2025-06-27 19:46:13.027336,Low,Low Cost
10900,Appleton Msa,41-2031,Retail Salespersons,Retail Salespersons,12495,13.79,28682,12.69,26388,18643,22946,35853,43024,2019,2025-06-27 19:46:13.027343,Low-Middle,Low Cost
10900,Appleton Msa,41-2011,Cashiers,Cashiers,13965,10.87,22615,10.0,20806,14700,18092,28269,33923,2019,2025-06-27 19:46:13.027350,Low,Low Cost
10900,Appleton Msa,43-4051,Customer Service Reps,Customer Service Representatives,6174,16.63,34588,15.3,31821,22482,27670,43235,51882,2019,2025-06-27 19:46:13.027357,Low-Middle,Low Cost
10900,Appleton Msa,39-5012,Hairdressers,"Hairdressers, Hairstylists, and Cosmetologists",1249,14.78,30745,13.6,28285,19984,24596,38431,46117,2019,2025-06-27 19:46:13.027363,Low-Middle,Low Cost
10900,Appleton Msa,39-9031,Fitness Trainers,Fitness Trainers and Aerobics Instructors,808,16.89,35132,15.54,32321,22835,28105,43915,52698,2019,2025-06-27 19:46:13.027370,Low-Middle,Low Cost
10900,Appleton Msa,39-9011,Childcare Workers,Childcare Workers,3675,11.72,24382,10.78,22432,15848,19506,30478,36574,2019,2025-06-27 19:46:13.027377,Low,Low Cost
10900,Appleton Msa,47-2031,Carpenters,Carpenters,2646,23.79,49475,21.88,45517,32159,39580,61844,74213,2019,2025-06-27 19:46:13.027387,Middle,Moderate Cost
10900,Appleton Msa,47-2111,Electricians,Electricians,1764,28.5,59278,26.22,54535,38530,47422,74097,88917,2019,2025-06-27 19:46:13.027394,Middle,Moderate Cost
10900,Appleton Msa,47-2152,Plumbers,"Plumbers, Pipefitters, and Steamfitters",1249,26.53,55184,24.41,50769,35869,44147,68980,82776,2019,2025-06-27 19:46:13.027400,Middle,Moderate Cost
10900,Appleton Msa,49-3023,Automotive Technicians,Automotive Service Technicians and Mechanics,2058,20.79,43235,19.12,39776,28102,34588,54044,64852,2019,2025-06-27 19:46:13.027408,Low-Middle,Moderate Cost
10900,Appleton Msa,13-2011,Accountants,Accountants and Auditors,3234,31.26,65014,28.76,59813,42259,52011,81268,97521,2019,2025-06-27 19:46:13.027414,Middle,Moderate Cost
10900,Appleton Msa,15-1252,Software Developers,Software Developers,2205,37.96,78957,34.92,72640,51322,63165,98696,118436,2019,2025-06-27 19:46:13.027422,Middle,High Cost
10900,Appleton Msa,13-1161,Marketing Specialists,Marketing Specialists,1764,26.53,55184,24.41,50769,35869,44147,68980,82776,2019,2025-06-27 19:46:13.027429,Middle,Moderate Cost
10900,Appleton Msa,41-9022,Real Estate Agents,Real Estate Sales Agents,1176,24.14,50206,22.21,46190,32634,40165,62758,75310,2019,2025-06-27 19:46:13.027435,Middle,Moderate Cost
18580,Eau Claire Msa,11-1021,General Managers,General and Operations Managers,3562,42.13,87621,38.76,80611,56953,70097,109526,131432,2019,2025-06-27 19:46:13.027443,High,High Cost
18580,Eau Claire Msa,11-9051,Food Service Managers,Food Service Managers,1140,23.17,48195,21.32,44339,31326,38556,60243,72292,2019,2025-06-27 19:46:13.027450,Low-Middle,Moderate Cost
18580,Eau Claire Msa,11-9081,Retail Managers,Retail Sales Managers,1710,21.49,44705,19.77,41129,29058,35764,55882,67058,2019,2025-06-27 19:46:13.027457,Low-Middle,Moderate Cost
18580,Eau Claire Msa,11-9021,Construction Managers,Construction Managers,498,38.39,79855,35.32,73466,51905,63884,99818,119782,2019,2025-06-27 19:46:13.027463,Middle,High Cost
18580,Eau Claire Msa,29-1141,Registered Nurses,Registered Nurses,9262,32.06,66682,29.49,61348,43343,53346,83353,100024,2019,2025-06-27 19:46:13.027470,Middle,High Cost
18580,Eau Claire Msa,31-9092,Medical Assistants,Medical Assistants,2565,15.89,33043,14.62,30400,21478,26434,41304,49565,2019,2025-06-27 19:46:13.027477,Low-Middle,Low Cost
18580,Eau Claire Msa,31-1121,Home Health Aides,Home Health and Personal Care Aides,4987,12.18,25333,11.21,23306,16466,20266,31666,37999,2019,2025-06-27 19:46:13.027486,Low,Low Cost
18580,Eau Claire Msa,35-3021,Food Prep Workers,Combined Food Preparation and Serving Workers,6412,10.98,22836,10.1,21009,14843,18269,28545,34254,2019,2025-06-27 19:46:13.027493,Low,Low Cost
18580,Eau Claire Msa,35-3031,Waiters Waitresses,Waiters and Waitresses,7410,10.49,21818,9.65,20072,14181,17454,27272,32727,2019,2025-06-27 19:46:13.027500,Low,Low Cost
18580,Eau Claire Msa,35-2014,Cooks Restaurant,"Cooks, Restaurant",3990,12.3,25576,11.31,23530,16625,20461,31971,38365,2019,2025-06-27 19:46:13.027507,Low,Low Cost
18580,Eau Claire Msa,35-3011,Bartenders,Bartenders,2137,11.53,23980,10.61,22062,15587,19184,29975,35970,2019,2025-06-27 19:46:13.027514,Low,Low Cost
18580,Eau Claire Msa,41-2031,Retail Salespersons,Retail Salespersons,12112,13.37,27804,12.3,25580,18073,22243,34756,41707,2019,2025-06-27 19:46:13.027542,Low-Middle,Low Cost
18580,Eau Claire Msa,41-2011,Cashiers,Cashiers,13537,10.54,21923,9.7,20169,14249,17538,27403,32884,2019,2025-06-27 19:46:13.027552,Low,Low Cost
18580,Eau Claire Msa,43-4051,Customer Service Reps,Customer Service Representatives,5985,16.12,33529,14.83,30847,21794,26823,41911,50294,2019,2025-06-27 19:46:13.027561,Low-Middle,Low Cost
18580,Eau Claire Msa,39-5012,Hairdressers,"Hairdressers, Hairstylists, and Cosmetologists",1211,14.33,29803,13.18,27419,19372,23843,37254,44705,2019,2025-06-27 19:46:13.027570,Low-Middle,Low Cost
18580,Eau Claire Msa,39-9031,Fitness Trainers,Fitness Trainers and Aerobics Instructors,783,16.37,34056,15.06,31332,22136,27245,42570,51084,2019,2025-06-27 19:46:13.027579,Low-Middle,Low Cost
18580,Eau Claire Msa,39-9011,Childcare Workers,Childcare Workers,3562,11.36,23636,10.45,21745,15363,18909,29545,35454,2019,2025-06-27 19:46:13.027588,Low,Low Cost
18580,Eau Claire Msa,47-2031,Carpenters,Carpenters,2565,23.06,47961,21.21,44124,31174,38368,59951,71941,2019,2025-06-27 19:46:13.027597,Low-Middle,Moderate Cost
18580,Eau Claire Msa,47-2111,Electricians,Electricians,1710,27.63,57463,25.42,52866,37351,45970,71829,86195,2019,2025-06-27 19:46:13.027606,Middle,Moderate Cost
18580,Eau Claire Msa,47-2152,Plumbers,"Plumbers, Pipefitters, and Steamfitters",1211,25.72,53495,23.66,49215,34771,42796,66868,80242,2019,2025-06-27 19:46:13.027615,Middle,Moderate Cost
